Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Alabama

,,National or state crime,,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
2001,   4468912,      19582,         379,       1369,,       5584,      12250,     173253,      40642,     119992,      12619 
2002,   4478896,      19931,         303,       1664,,       5962,      12002,     180400,      42578,     123932,      13890 
2003,   4503726,      19331,         299,       1656,,       6038,      11338,     182241,      43245,     124039,      14957 
2004,   4525375,      19324,         254,       1742,,       6042,      11286,     182340,      44666,     123650,      14024 
2005,   4548327,      19678,         374,       1564,,       6447,      11293,     177393,      43473,     120780,      13140 
2006,   4599030,      19553,         382,       1646,,       7062,      10463,     181249,      44780,     121451,      15018 
2007,   4627851,      20775,         412,       1548,,       7398,      11417,     184082,      45379,     124465,      14238 
2008,   4661900,      21110,         351,       1618,,       7346,      11795,     190416,      50411,     126539,      13466 
2009,   4708708,      21194,         322,       1504,,       6265,      13103,     178007,      48844,     118072,      11091 
2010,   4785401,      18363,         275,       1355,,       4864,      11869,     168828,      42484,     115564,      10780 
2011,   4803689,      20166,         299,       1370,,       4906,      13591,     173192,      51119,     111411,      10662 
2012,   4817528,      21693,         342,       1296,,       5020,      15035,     168878,      47481,     111523,       9874 
2013,   4833996,      20834,         346,       1449,       2055,       4645,      13788,     161835,      42410,     108862,      10563 
2014,   4849377,      20727,         276,       1436,       2005,       4701,      13745,     154094,      39715,     104238,      10141 

Estimated crime in Alaska

,,National or state crime,,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
2001,     633630,       3735,          39,         501,,         514,       2681,      23160,       3847,      16695,       2618 
2002,     641482,       3627,          33,         511,,         489,       2594,      24118,       3908,      17739,       2471 
2003,     648280,       3877,          39,         605,,         446,       2787,      24386,       3874,      18051,       2461 
2004,     657755,       4159,          37,         558,,         447,       3117,      22172,       3773,      16159,       2240 
2005,     663253,       4194,          32,         538,,         537,       3087,      23975,       4131,      17249,       2595 
2006,     670053,       4610,          36,         512,,         600,       3462,      23975,       4155,      17284,       2536 
2007,     683478,       4520,          43,         545,,         581,       3351,      23096,       3734,      16929,       2433 
2008,     686293,       4475,          27,         447,,         645,       3356,      20090,       3237,      15225,       1628 
2009,     698473,       4424,          22,         513,,         654,       3235,      20538,       3600,      15251,       1687 
2010,     714146,       4537,          31,         533,,         594,       3379,      20259,       3105,      15535,       1619 
2011,     723860,       4416,          30,         436,,         576,       3374,      19094,       2852,      14854,       1388 
2012,     730307,       4412,          30,         583,,         630,       3169,      20037,       2950,      15565,       1522 
2013,     737259,       4709,          34,         657,         925,         623,       3127,      21211,       2917,      16599,       1695 
2014,     736732,       4684,          41,         555,         771,         629,       3243,      20334,       3150,      15445,       1739 

Estimated crime in Arizona

,,National or state crime,,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
2001,   5306966,      28675,         400,       1518,,       8868,      17889,     293874,      54821,     186850,      52203 
2002,   5441125,      30171,         387,       1608,,       8000,      20176,     318296,      59087,     201541,      57668 
2003,   5579222,      28638,         441,       1856,,       7619,      18722,     314335,      58613,     198725,      56997 
2004,   5739879,      28952,         414,       1896,,       7721,      18921,     291203,      56885,     179012,      55306 
2005,   5953007,      30478,         445,       2006,,       8579,      19448,     287345,      56328,     176112,      54905 
2006,   6166318,      33456,         533,       2449,,       9491,      20983,     294389,      59418,     178321,      56650 
2007,   6338755,      32835,         548,       2353,,       9764,      20170,     287308,      59988,     177076,      50244 
2008,   6500180,      31567,         462,       2200,,       9809,      19096,     266653,      58606,     169460,      38587 
2009,   6595778,      28128,         380,       2279,,       8199,      17270,     236721,      54308,     155976,      26437 
2010,   6413158,      26528,         408,       2191,,       6953,      16976,     226802,      50932,     154137,      21733 
2011,   6467315,      26789,         397,       2499,,       7145,      16748,     229896,      54695,     155400,      19801 
2012,   6551149,      28077,         358,       2282,,       7383,      18054,     231701,      52911,     159808,      18982 
2013,   6634997,      27576,         355,       2344,       3174,       6656,      17391,     223294,      48292,     158036,      16966 
2014,   6731484,      26916,         319,       2464,       3378,       6249,      16970,     215240,      43562,     154091,      17587 

Estimated crime in Arkansas

,,National or state crime,,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
2001,   2694698,      12190,         148,         892,,       2181,       8969,      99106,      22196,      69590,       7320 
2002,   2706268,      11501,         142,         754,,       2524,       8081,     101171,      23229,      71129,       6813 
2003,   2727774,      12449,         180,         911,,       2227,       9131,      99084,      25016,      68061,       6007 
2004,   2750000,      13814,         176,       1183,,       2372,      10083,     110911,      30151,      74242,       6518 
2005,   2775708,      14670,         189,       1202,,       2532,      10747,     112914,      30118,      75510,       7286 
2006,   2810872,      15538,         205,       1325,,       2749,      11259,     112025,      31864,      72646,       7515 
2007,   2834797,      15226,         198,       1294,,       3105,      10629,     112130,      32035,      73096,       6999 
2008,   2855390,      14649,         165,       1463,,       2777,      10244,     110360,      33912,      69905,       6543 
2009,   2889450,      14905,         179,       1378,,       2576,      10772,     109078,      34753,      68228,       6097 
2010,   2921588,      14711,         134,       1321,,       2369,      10887,     103820,      32463,      65796,       5561 
2011,   2938582,      14173,         160,       1230,,       2357,      10426,     110430,      34016,      70645,       5769 
2012,   2949828,      13851,         174,       1233,,       2310,      10134,     109389,      32673,      70982,       5734 
2013,   2958765,      13705,         158,       1135,       1490,       2261,       9796,     106477,      30369,      70430,       5678 
2014,   2966369,      14243,         165,       1182,       1763,       2050,      10265,      99018,      24790,      68627,       5601 

Estimated crime in California

,,National or state crime,,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
2001,  34600463,     212867,       2206,       9960,,      64614,     136087,   1134189,     232273,     697739,     204177 
2002,  35001986,     208388,       2395,      10198,,      64968,     130827,   1176484,     238428,     715692,     222364 
2003,  35462712,     205551,       2407,       9994,,      63770,     129380,   1215086,     242274,     731486,     241326 
2004,  35842038,     189175,       2392,       9615,,      61768,     115400,   1227194,     245903,     728687,     252604 
2005,  36154147,     190178,       2503,       9392,,      63622,     114661,   1200531,     250521,     692467,     257543 
2006,  36457549,     194483,       2486,       9235,,      71142,     111620,   1159988,     247230,     669103,     243655 
2007,  36553215,     191561,       2262,       9046,,      70706,     109547,   1112510,     237850,     654526,     220134 
2008,  36756666,     185329,       2142,       8903,,      69388,     104896,   1080996,     237811,     650656,     192529 
2009,  36961664,     174934,       1972,       8713,,      64093,     100156,   1009433,     230198,     615402,     163833 
2010,  37338198,     164133,       1809,       8331,,      58116,      95877,     981939,     228857,     600558,     152524 
2011,  37683933,     154943,       1792,       7665,,      54291,      91195,     973822,     230075,     596905,     146842 
2012,  37999878,     160944,       1884,       7837,,      56521,      94702,   1049465,     245767,     635090,     168608 
2013,  38431393,     154739,       1746,       7464,      10324,      53640,      89029,   1018907,     232058,     621557,     165292 
2014,  38802500,     153709,       1699,       8398,      11527,      48680,      91803,     947192,     202670,     592670,     151852 

Estimated crime in Colorado

,,National or state crime,,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
2001,   4430989,      15492,         158,       1930,,       3555,       9849,     170887,      28533,     121360,      20994 
2002,   4501051,      15882,         179,       2066,,       3579,      10058,     180054,      31678,     125193,      23183 
2003,   4547633,      15757,         185,       1913,,       3738,       9921,     179706,      32394,     124496,      22816 
2004,   4601821,      17121,         201,       1945,,       3739,      11236,     180322,      33010,     123308,      24004 
2005,   4663295,      18498,         173,       2026,,       3948,      12351,     188449,      34746,     127602,      26101 
2006,   4753377,      18794,         171,       2158,,       3824,      12641,     163439,      32411,     110372,      20656 
2007,   4861515,      17101,         155,       2075,,       3461,      11410,     145808,      28633,     100519,      16656 
2008,   4939456,      17480,         165,       2151,,       3404,      11760,     139340,      28054,      97937,      13349 
2009,   5024748,      17022,         159,       2269,,       3371,      11223,     134196,      26637,      95079,      12480 
2010,   5047692,      16339,         129,       2230,,       3164,      10816,     135001,      26196,      97534,      11271 
2011,   5116302,      16085,         155,       2285,,       3299,      10346,     132781,      25725,      96054,      11002 
2012,   5189458,      15951,         152,       2122,,       3392,      10285,     139355,      26163,     101091,      12101 
2013,   5272086,      16099,         174,       2198,       2963,       3136,       9826,     139974,      25075,     102375,      12524 
2014,   5355866,      16554,         151,       2121,       3039,       3039,      10325,     135510,      23472,      99464,      12574 

Estimated crime in Connecticut

,,National or state crime,,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
2001,   3434602,      11492,         105,         639,,       4183,       6565,      95299,      17159,      65762,      12378 
2002,   3458587,      10807,          84,         740,,       4069,       5914,      93426,      17111,      64735,      11580 
2003,   3486960,      11045,         112,         698,,       4212,       6023,      92981,      16043,      65568,      11370 
2004,   3498966,      10113,         100,         755,,       4188,       5070,      93942,      15959,      66770,      11213 
2005,   3500701,       9542,         105,         712,,       3933,       4792,      90270,      15245,      64416,      10609 
2006,   3504809,      10505,         137,         696,,       4460,       5212,      90638,      15583,      64765,      10290 
2007,   3502309,      10547,         113,         690,,       4303,       5441,      86528,      15640,      60937,       9951 
2008,   3501252,      10737,         132,         680,,       4043,       5882,      87210,      15107,      63212,       8891 
2009,   3518288,      10588,         106,         657,,       4001,       5824,      82625,      15172,      59992,       7461 
2010,   3575498,      10083,         133,         595,,       3553,       5802,      78259,      15145,      56413,       6701 
2011,   3586717,       9889,         129,         689,,       3689,       5382,      77205,      15468,      55067,       6670 
2012,   3591765,      10183,         117,         933,,       3709,       5424,      77169,      14787,      55904,       6478 
2013,   3599341,       9439,          91,         647,         891,       3551,       4906,      71274,      12934,      52099,       6241 
2014,   3596677,       8522,          86,         571,         782,       3159,       4495,      69070,      11955,      51005,       6110 

Estimated crime in Delaware

,,National or state crime,,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
2001,     796599,       4868,          23,         420,,       1156,       3269,      27399,       5144,      19476,       2779 
2002,     805945,       4836,          26,         358,,       1154,       3298,      26967,       5355,      18555,       3057 
2003,     818166,       5525,          21,         370,,       1441,       3693,      27943,       6066,      18933,       2944 
2004,     830069,       5105,          28,         357,,       1343,       3377,      27256,       5669,      19285,       2302 
2005,     841741,       5332,          37,         377,,       1306,       3612,      26245,       5811,      18085,       2349 
2006,     853476,       5983,          42,         417,,       1791,       3733,      29670,       6337,      20449,       2884 
2007,     864764,       6100,          39,         341,,       1763,       3957,      29216,       6420,      20454,       2342 
2008,     873092,       6187,          57,         371,,       1847,       3912,      31385,       6783,      22045,       2557 
2009,     885122,       5713,          41,         395,,       1680,       3597,      29685,       6943,      20836,       1906 
2010,     899792,       5608,          51,         326,,       1839,       3392,      31078,       7550,      21593,       1935 
2011,     908137,       5144,          48,         307,,       1558,       3231,      31163,       7617,      22001,       1545 
2012,     917053,       5048,          56,         249,,       1498,       3245,      30707,       7389,      21880,       1438 
2013,     925240,       4633,          41,         278,         399,       1233,       2960,      29001,       6299,      21347,       1355 
2014,     935614,       4576,          54,         249,         386,       1269,       2867,      27900,       5768,      20865,       1267 

Estimated crime in District of Columbia

,,National or state crime,,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
