,campus,lon,lat,total,pop,rate,state
191,Beulah Heights University,-84.3578094,33.7368983,26,10953,2.37,georgia
2421,Bexley Hall Episcopal Seminary,-82.3967314,40.3811358,30,198,151.52,ohio
192,Biola University,-118.0152341,33.9055049,127,79692,1.59,california
193,Birmingham Southern College,-86.854721,33.51392,61,19186,3.18,alabama
194,Bismarck State College,-100.8160702,46.8210069,7,52170,0.13,north dakota
195,Black Hills State University,-103.8711895,44.49651,51,58400,0.87,south dakota
196,Blackburn College,-89.8733533,39.2886265,89,7645,11.64,illinois
197,Blessing Rieman College of Nursing,-91.3983317,39.9356314,12,3126,3.84,illinois
198,Bloomfield College,-74.1955536,40.7946347,94,28791,3.26,new jersey
199,Bloomsburg University of Pennsylvania,-76.4472749,41.0081119,425,127269,3.34,pennsylvania
200,Blue Mountain College,-89.0293182,34.6721036,23,6460,3.56,mississippi
201,Bluefield College,-81.246277,37.244538,21,11228,1.87,west virginia
202,Bluefield State College,-81.2374456,37.2672311,9,31146,0.29,west virginia
203,Bluffton University,-83.897922,40.8968149,224,16037,13.97,ohio
2575,Bob Jones University,-82.362062,34.876487,157,25463,6.17,south carolina
204,Boise Bible College,-116.2913775,43.6581815,2,2295,0.87,idaho
205,Boise State University,-116.201649,43.6033127,381,254631,1.5,idaho
208,Boston Architectural College,-71.0857391,42.3484629,17,15478,1.1,massachusetts
209,Boston Baptist College,-71.11015,42.253995,5,1657,3.02,massachusetts
210,Boston College,-71.1684945,42.3355488,771,203544,3.79,massachusetts
211,Boston Graduate School of Psychoanalysis Inc,-71.1331033,42.3391142,2,1792,1.12,massachusetts
212,Boston University,-71.1053991,42.3504997,1167,435985,2.68,massachusetts
213,Bowdoin College,-69.96198,43.906776,227,24211,9.38,maine
214,Bowie State University,-76.7594027,39.0192909,622,76344,8.15,maryland
215,Bowling Green State University-Main Campus,-83.6300826,41.3797788,637,253042,2.52,ohio
216,Bradley University,-89.6153484,40.6977743,519,81946,6.33,illinois
217,Brandeis University,-71.2585265,42.3662517,305,75599,4.03,massachusetts
218,Brandman University,-117.769041,33.656335,10,92380,0.11,california
219,Brazosport College,-95.4091894,29.0485447,17,54778,0.31,texas
220,Brenau University,-83.822032,34.302811,31,32247,0.96,georgia
221,Brescia University,-87.1119826,37.7689415,38,10341,3.67,kentucky
222,Brevard College,-82.7293012,35.2365947,257,8426,30.5,north carolina
223,Brewton-Parker College,-82.5847649,32.1857919,108,13476,8.01,georgia
224,Briar Cliff University,-96.4270388,42.5270102,81,15603,5.19,iowa
225,Briarcliffe College,-73.4904563,40.7593739,3,30023,0.1,new york
226,Bridgewater College,-78.969386,38.378879,120,20437,5.87,virginia
227,Bridgewater State University,-70.9660014,41.9877398,508,144603,3.51,massachusetts
228,Brigham Young University-Hawaii,-157.9253554,21.641842,97,37085,2.62,hawaii
229,Brigham Young University-Idaho,-111.782753,43.818146,67,233419,0.29,idaho
230,Brigham Young University-Provo,-111.6493156,40.2518435,328,467292,0.7,utah
2536,Brite Divinity School,-97.3597164,32.7101378,250,1823,137.14,texas
232,Broadview University-West Jordan,-111.941832,40.6103114,5,6440,0.78,utah
2423,Brookline College-Albuquerque,-106.6873193,35.0877371,8,4275,1.87,new mexico
233,Brookline College-Phoenix,-112.112536,33.566153,3,11642,0.26,arizona
234,Brookline College-Tucson,-110.8762627,32.2077961,7,7102,0.99,arizona
235,Brooklyn Law School,-73.9896878,40.6918663,4,18389,0.22,new york
2439,Brooks Institute,-81.6016038,30.2899097,2,17031,0.12,florida
236,Broward College,-80.233972,26.079059,1050,502358,2.09,florida
237,Brown Mackie College-Akron,-81.5888822,41.094754,1,10553,0.09,ohio
2646,Brown Mackie College-Albuquerque,-106.5267365,35.0796349,3,3134,0.96,new mexico
2597,Brown Mackie College-Boise,-116.2951471,43.5908058,1,3238,0.31,idaho
238,Brown Mackie College-Cincinnati,-84.4565524,39.2562205,45,17670,2.55,ohio
239,Brown Mackie College-Findlay,-83.6194414,41.0587812,4,8505,0.47,ohio
241,Brown Mackie College-Kansas City,-94.73443,38.952825,8,4866,1.64,kansas
242,Brown Mackie College-Louisville,-85.6951905,38.1578542,1,13213,0.08,kentucky
243,Brown Mackie College-Merrillville,-87.3262331,41.4736176,1,8532,0.12,indiana
2477,Brown Mackie College-Miami,-80.3507887,25.9738677,13,7509,1.73,florida
245,Brown Mackie College-North Canton,-81.4290003,40.8448981,18,11705,1.54,ohio
246,Brown Mackie College-Northern Kentucky,-84.5705338,39.0422902,4,6726,0.59,kentucky
247,Brown Mackie College-Salina,-97.613626,38.8050984,3,5979,0.5,kansas
2707,Brown Mackie College-San Antonio,-98.5556614,29.4944096,14,2729,5.13,texas
248,Brown Mackie College-South Bend,-86.199895,41.708299,4,9329,0.43,indiana
249,Brown Mackie College-Tucson,-110.8950322,32.2365903,51,7089,7.19,arizona
250,Brown University,-71.4025482,41.8267718,919,117479,7.82,rhode island
251,Bryan College of Health Sciences,-96.650422,40.797057,8,6325,1.26,nebraska
252,Bryan College-Dayton,-84.998968,35.496461,100,15122,6.61,tennessee
253,Bryan University,-111.9439972,33.4378521,3,12904,0.23,arizona
254,Bryant & Stratton College-Albany,-73.8096422,42.6982468,4,7984,0.5,new york
2649,Bryant & Stratton College-Bayshore,-92.4890469,34.5959265,1,2634,0.38,arkansas
256,Bryant & Stratton College-Buffalo,-78.8735264,42.8865088,11,9752,1.13,new york
2440,Bryant & Stratton College-Cleveland,-92.4890469,34.5959265,2,7520,0.27,arkansas
257,Bryant & Stratton College-Eastlake,-81.4367669,41.6379759,3,7313,0.41,ohio
258,Bryant & Stratton College-Greece,-77.6960651,43.2408002,3,3715,0.81,new york
259,Bryant & Stratton College-Milwaukee,-87.9151486,43.0393033,6,12343,0.49,wisconsin
260,Bryant & Stratton College-Parma,-81.781721,41.4044531,12,7166,1.67,ohio
261,Bryant & Stratton College-Richmond,-77.5431851,37.4595186,7,8826,0.79,virginia
262,Bryant & Stratton College-Southtowns,-78.770408,42.790207,1,12110,0.08,new york
263,Bryant & Stratton College-Syracuse North,-76.2402162,43.1897305,22,6618,3.32,new york
264,Bryant & Stratton College-Virginia Beach,-76.1382847,36.8278513,4,8036,0.5,virginia
2577,Bryant & Stratton College-Wauwatosa,-92.4890469,34.5959265,10,5508,1.82,arkansas
265,Bryant University,-71.5382698,41.9210684,293,49854,5.88,rhode island
2478,Bryn Athyn College of the New Church,-75.0602933,40.1348603,47,2277,20.64,pennsylvania
266,Bryn Mawr College,-75.3144708,40.0266246,112,22906,4.89,pennsylvania
267,Bucknell University,-76.8847321,40.9548827,299,51164,5.84,pennsylvania
268,Buena Vista University,-95.21007,42.640722,192,36667,5.24,iowa
269,Burlington College,-73.228266,44.4911559,16,2890,5.54,vermont
